  3.90000000000000e+00 -2.23825188477686e+00 4.68569062479854e-17 9.99999999999992e-01 -5.74794483094537e-04  -5.74616298062247e-04  -3.07116528419405e-04 9.99985998022350e-01
  4.00000000000000e+00 -2.23825188290415e+00 8.22187779370190e-17 9.99999999999991e-01 -5.75966258730512e-04  -5.75694573915928e-04  -1.90460581175476e-04 9.99986047591998e-01
  4.10000000000000e+00 -2.23825188860781e+00 -6.41641023132983e-17 9.99999999999991e-01 -5.61248393116617e-04  -5.60883725917508e-04  -5.55971717516384e-05 9.99986119787426e-01
  4.20000000000000e+00 -2.23825190161410e+00 1.06689499841677e-18 9.99999999999991e-01 -5.29236099549833e-04  -5.28779133925331e-04  9.50530125472507e-05 9.99986214026556e-01
  4.30000000000000e+00 -2.23825192055542e+00 -2.33959003747123e-17 9.99999999999990e-01 -4.78924937122357e-04  -4.78376522168757e-04  2.58345022218995e-04 9.99986328301815e-01
  4.40000000000000e+00 -2.23825194286761e+00 5.64782185174753e-17 9.99999999999990e-01 -4.09780350559611e-04  -4.09141498769406e-04  4.30456301529637e-04 9.99986458978767e-01
  4.50000000000000e+00 -2.23825196481720e+00 -4.92499252213646e-17 9.99999999999989e-01 -3.21797351160409e-04  -3.21069236389435e-04  6.06959001730356e-04 9.99986600756920e-01
  4.60000000000000e+00 -2.23825198168225e+00 -8.22964633371582e-17 9.99999999999988e-01 -2.15547648215653e-04  -2.14731603365121e-04  7.82917102027943e-04 9.99986746830467e-01
  4.70000000000000e+00 -2.23825198809189e+00 9.04284985574243e-17 9.99999999999989e-01 -9.22117893034941e-05  -9.13093037043473e-05  9.53006625715138e-04 9.99986889267781e-01
  4.80000000000000e+00 -2.23825197851307e+00 4.91903421638058e-17 9.99999999999989e-01 4.64057885529497e-05  4.73930720179117e-05  1.11165639224349e-03 9.99987019603513e-01
  4.90000000000000e+00 -2.23825194784906e+00 -1.63776636191908e-17 9.99999999999988e-01 1.97880463510917e-04  1.98950751560888e-04  1.25320594397435e-03 9.99987129609498e-01
  5.00000000000000e+00 -2.23825189209632e+00 3.80661419459969e-17 9.99999999999988e-01 3.59191046728635e-04  3.60342399101153e-04  1.37207655653327e-03 9.99987212181734e-01
  5.10000000000000e+00 -2.23825180898869e+00 8.51253691713848e-17 9.99999999999987e-01 5.26763896573133e-04  5.27994229682076e-04  1.46295061044517e-03 9.99987262255747e-01
  5.20000000000000e+00 -2.23825169854720e+00 -6.92618558495745e-17 9.99999999999986e-01 6.96537488698017e-04  6.97844579542930e-04  1.52095409316143e-03 9.99987277643980e-01
